,Unnamed: 0,stars,name,latitude,longitude,city,region,country,cuisine,url,url_status,min_price,max_price,currency
0,0,1,Kilian Stuba,47.34858,10.17114,Kleinwalsertal,Austria,Austria,Creative,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,200,90,120,EUR
1,1,1,Pfefferschiff,47.83787,13.07917,Hallwang,Austria,Austria,Classic cuisine,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,200,59,120,EUR
2,2,1,Esszimmer,47.80685,13.03409,Salzburg,Austria,Austria,Creative,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,200,45,128,EUR
3,3,1,Carpe Diem,47.80001,13.04006,Salzburg,Austria,Austria,Market cuisine,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,200,61,118,EUR
4,4,1,Edvard,48.216503,16.36852,Wien,Austria,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,200,33,158,EUR
5,5,1,Das Loft,48.21272,16.37931,Wien,Austria,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,200,59,99,EUR
6,6,1,Pramerl & the Wolf,48.20945,16.37174,Wien,Austria,Austria,Creative,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,200,65,95,EUR
7,7,1,Walter Bauer,48.20923,16.376720000000002,Wien,Austria,Austria,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,200,52,78,EUR
8,8,1,SHIKI,48.204067,16.37098,Wien,Austria,Austria,Japanese,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,200,92,125,EUR
9,9,1,Tian,48.20513,16.37456,Wien,Austria,Austria,Vegetarian,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,200,89,127,EUR
10,10,1,aend,48.18957,16.34115,Wien,Austria,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,200,39,120,EUR
11,11,1,Le Ciel by Toni Mörwald,48.20209000000001,16.371560000000002,Wien,Austria,Austria,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,200,53,145,EUR
